"species"
"decalobanthus peltatus"
"distimake ampelophyllus"
"falkia canescens"
"hildebrandtia sepalosa"
"ipomoea aitonii"
"ipomoea biflora"
"ipomoea bolusiana"
"ipomoea chloroneura"
"ipomoea chrysochaetia"
"ipomoea coscinosperma"
"ipomoea heterotricha"
"ipomoea humidicola"
"ipomoea imperati"
"ipomoea irwiniae"
"ipomoea lapidosa"
"ipomoea macrosepala"
"ipomoea oenotherae"
"ipomoea polhillii"
"ipomoea polymorpha"
"ipomoea recta"
"ipomoea rotundata"
"ipomoea sagittifolia"
"ipomoea simonsiana"
"ipomoea stenosiphon"
"ipomoea transvaalensis"
"ipomoea tuberculata"
"lepistemon owariensis"
"lepistemonopsis volkensii"
"merremia gregorii"
"merremia hornbyi"
"merremia spongiosa"
"merremia xanthophylla"
"seddera bagshawei"
"seddera humilis"
"seddera micrantha"
"stictocardia laxiflora"
"xenostegia alatipes"
"xenostegia medium"
"xenostegia pinnata"
"xenostegia tridentata"
"aeonium leucoblepharum"
"aeonium stuessyi"
"crassula alata"
"crassula expansa"
"crassula nodulosa"
"crassula pellucida"
"crassula rhodesica"
"crassula volkensii"
"kalanchoe aubrevillei"
"kalanchoe humilis"
"kalanchoe mitejea"
"kalanchoe prasina"
"kalanchoe rotundifolia"
"kalanchoe schliebenii"
"umbilicus botryoides"
"blastania cerasiformis"
"coccinia barteri"
"coccinia pwaniensis"
"corallocarpus bainesii"
"corallocarpus poissonii"
"corallocarpus tenuissimus"
"cucumis afrotropicus"
"cucumis cinereus"
"cucumis kirkbridei"
"cucumis melo"
"diplocyclos leiocarpus"
"kedrostis abdallae"
"kedrostis gijef"
"kedrostis pseudogijef"
"lagenaria breviflora"
"momordica cardiospermoides"
"momordica cymbalaria"
"momordica kirkii"
"momordica punctata"
"oreosyce africana"
"siraitia africana"
"trochomeria polymorpha"
"zehneria minutiflora"
"zehneria tridactyla"
"alsophila deckenii"
"alsophila dregei"
"alsophila humilis"
"alsophila manniana"
"alsophila mossambicensis"
"alsophila tanzaniana"
"alsophila thomsonii"
"gymnosphaera capensis"
"gymnosphaera schliebenii"
"cycas thouarsii"
"cymodocea rotundata"
"halodule uninervis"
"oceana serrulata"
"syringodium isoetifolium"
"abildgaardia ovata"
"bulbostylis angolensis"
"bulbostylis angustispicata"
"bulbostylis barbata"
"bulbostylis burchellii"
"bulbostylis clarkeana"
"bulbostylis coleotricha"
"bulbostylis elegantissima"
"bulbostylis humilis"
"bulbostylis leiolepis"
"bulbostylis macrostachya"
"bulbostylis meruensis"
"bulbostylis microrotundata"
"bulbostylis oligostachys"
"bulbostylis rhizomatosa"
"bulbostylis scrobiculata"
"bulbostylis vanderystii"
"bulbostylis viridecarinata"
"carex bequaertii"
"carex biegensis"
"carex chlorosaccus"
"carex erythrorrhiza"
"carex fischeri"
"carex greenwayi"
"carex ludwigii"
"carex monostachya"
"carex peregrina"
"carex phragmitoides"
"carex schimperiana"
"carex schliebenii"
