species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Holothrix buchananii,Orchidaceae,Holothrix,Asparagales,herb,NA,4,4,-8.3749975,35.255
Holothrix triloba,Orchidaceae,Holothrix,Asparagales,herb,NA,4,4,-9.121665,33.660825
Hugonia orientalis,Linaceae,Hugonia,Malpighiales,shrub,NA,4,4,-9.489565,38.454175000000006
Hydnora sinandevu,Hydnoraceae,Hydnora,Piperales,parasitic,NA,4,4,-6.1041625,38.6125
Hydrocotyle mannii,Araliaceae,Hydrocotyle,Apiales,herb,NA,4,4,-3.591525,32.5702
Hydrocotyle sibthorpioides,Araliaceae,Hydrocotyle,Apiales,herb,NA,4,4,-4.389025,35.602075
Hymenocardia acida var. mollis,Phyllanthaceae,Hymenocardia,Malpighiales,shrub,NA,4,4,-7.76021,33.161375
Hymenophyllum peltatum,Hymenophyllaceae,Hymenophyllum,Hymenophyllales,epiphyte,NA,4,4,-4.3916675000000005,37.53915
Hyparrhenia finitima,Poaceae,Hyparrhenia,Poales,herb,NA,4,4,-7.1375,34.379175000000004
Hyparrhenia pilgeriana,Poaceae,Hyparrhenia,Poales,herb,NA,4,4,-9.1220825,33.6941
Hyparrhenia welwitschii,Poaceae,Hyparrhenia,Poales,herb,NA,4,4,-5.795415,34.313675
Hypoxis malosana,Hypoxidaceae,Hypoxis,Asparagales,herb,NA,4,4,-8.90118,34.223325
Hypoxis obtusa,Hypoxidaceae,Hypoxis,Asparagales,herb,NA,4,4,-7.2999975,36.2125
Hyptis lanceolata,Lamiaceae,Hyptis,Lamiales,herb,NA,4,4,-1.1042999999999998,31.62105
Impatiens eryaleia subsp. mbeyaensis,Balsaminaceae,Impatiens,Ericales,herb,NA,4,4,-9.166665,33.570825
Impatiens flammea,Balsaminaceae,Impatiens,Ericales,herb,NA,4,4,-9.14583,33.775
Impatiens hydrogetonoides subsp. kituloensis,Balsaminaceae,Impatiens,Ericales,herb,NA,4,4,-9.0708325,33.98335
Impatiens mahengeensis,Balsaminaceae,Impatiens,Ericales,herb,NA,4,4,-8.804165,36.666675
Impatiens polhillii,Balsaminaceae,Impatiens,Ericales,herb,NA,4,4,-8.4124975,35.53335
Indigofera atriceps,Fabaceae,Indigofera,Fabales,shrub,herb,4,4,-7.61583,33.582475
Indigofera atriceps subsp. setosissima,Fabaceae,Indigofera,Fabales,shrub,herb,4,4,-2.3198575000000003,31.248675
Indigofera brachynema,Fabaceae,Indigofera,Fabales,shrub,NA,4,4,-5.72326,34.41805
Indigofera hendecaphylla,Fabaceae,Indigofera,Fabales,herb,NA,4,4,-7.266665,35.291650000000004
Indigofera homblei,Fabaceae,Indigofera,Fabales,shrub,NA,4,4,-8.7788175,34.31985
Indigofera kongwaensis,Fabaceae,Indigofera,Fabales,herb,NA,4,4,-5.5024999999999995,35.659175
Indigofera nummulariifolia,Fabaceae,Indigofera,Fabales,herb,NA,4,4,-8.3391625,38.165
Indigofera schimperi,Fabaceae,Indigofera,Fabales,shrub,NA,4,4,-5.8995825,36.946799999999996
Indigofera simplicifolia,Fabaceae,Indigofera,Fabales,herb,shrub,4,4,-6.354165,33.8
Indigofera subargentea var. shinyangensis,Fabaceae,Indigofera,Fabales,shrub,NA,4,4,-4.1628475,31.77535
Intsia bijuga,Fabaceae,Intsia,Fabales,tree,NA,4,4,-5.1499950000000005,39.429175
Inula mannii,Asteraceae,Inula,Asterales,herb,NA,4,4,-6.5077050000000005,33.378625
Inula paniculata,Asteraceae,Inula,Asterales,herb,NA,4,4,-5.2608325,33.363550000000004
Ipomoea blepharophylla,Convolvulaceae,Ipomoea,Solanales,herb,NA,4,4,-7.7205525,37.803675
Ipomoea involucrata var. involucrata,Convolvulaceae,Ipomoea,Solanales,herb,climber,4,4,-8.0784675,34.716300000000004
Ipomoea lapathifolia subsp. lapathifolia,Convolvulaceae,Ipomoea,Solanales,herb,NA,4,4,-6.0291625,37.395825
Ipomoea linosepala subsp. alpina,Convolvulaceae,Ipomoea,Solanales,herb,NA,4,4,-9.0083325,34.8
Ipomoea mauritiana,Convolvulaceae,Ipomoea,Solanales,liana,herb,4,4,-6.76229,34.3168
Ipomoea obscura var. sagittifolia,Convolvulaceae,Ipomoea,Solanales,vine,herb,4,4,-6.6180525,33.89345
Ipomoea pileata,Convolvulaceae,Ipomoea,Solanales,herb,climber,4,4,-6.7322875,35.8962
Ipomoea shirambensis,Convolvulaceae,Ipomoea,Solanales,shrub,NA,4,4,-6.5173575,36.59165
Ipomoea trinervia,Convolvulaceae,Ipomoea,Solanales,herb,NA,4,4,-10.2166575,37.795825
Ipomoea welwitschii,Convolvulaceae,Ipomoea,Solanales,herb,NA,4,4,-6.84041,33.029650000000004
Isoglossa faulknerae,Acanthaceae,Isoglossa,Lamiales,herb,NA,4,4,-5.0270125,38.702425
Isoglossa gregorii,Acanthaceae,Isoglossa,Lamiales,herb,NA,4,4,-6.8916625,35.9375
Isoglossa laxa,Acanthaceae,Isoglossa,Lamiales,herb,NA,4,4,-6.6182625,36.8155
Isoglossa oreacanthoides,Acanthaceae,Isoglossa,Lamiales,NA,NA,4,4,-6.8883325,37.700825
Isoglossa substrobilina subsp. substrobilina,Acanthaceae,Isoglossa,Lamiales,shrub,NA,4,4,-7.404305,36.615925000000004
Isoglossa substrobilina subsp. tenuispicata,Acanthaceae,Isoglossa,Lamiales,shrub,NA,4,4,-5.291665,38.150025
Isoglossa variegata,Acanthaceae,Isoglossa,Lamiales,herb,NA,4,4,-5.3833325,38.35
Isoglossa vulcanicola,Acanthaceae,Isoglossa,Lamiales,shrub,herb,4,4,-7.5340275000000005,36.188675
Jasminum fluminense subsp. fluminense,Oleaceae,Jasminum,Lamiales,liana,climber,4,4,-4.99833,37.949600000000004
Jateorhiza palmata,Menispermaceae,Jateorhiza,Ranunculales,liana,NA,4,4,-7.9875,37.1625
Justicia beloperonoides,Acanthaceae,Justicia,Lamiales,shrub,NA,4,4,-6.983335,37.6583
Justicia bracteata,Acanthaceae,Justicia,Lamiales,herb,NA,4,4,-4.468955,34.778375
Justicia bridsoniana,Acanthaceae,Justicia,Lamiales,shrub,NA,4,4,-7.67708,36.903949999999995
Justicia heterotricha,Acanthaceae,Justicia,Lamiales,herb,NA,4,4,-6.50618,37.977225000000004
Justicia rodgersii,Acanthaceae,Justicia,Lamiales,shrub,NA,4,4,-7.782500000000001,36.495824999999996
Justicia udzungwaensis,Acanthaceae,Justicia,Lamiales,shrub,NA,4,4,-7.775,36.7625
Kalanchoe lanceolata,Crassulaceae,Kalanchoe,Saxifragales,herb,NA,4,4,-5.7940949999999996,34.760425
Kalanchoe marmorata,Crassulaceae,Kalanchoe,Saxifragales,herb,NA,4,4,-4.452565,36.24965
Kalanchoe nyikae subsp. nyikae,Crassulaceae,Kalanchoe,Saxifragales,herb,NA,4,4,-4.30833,38.033325
Kalanchoe peteri,Crassulaceae,Kalanchoe,Saxifragales,herb,NA,4,4,-3.73333,36.32085
Keetia zanzibarica subsp. gentilii,Rubiaceae,Keetia,Gentianales,liana,NA,4,4,-1.61694,31.72285
Kleinia abyssinica,Asteraceae,Kleinia,Asterales,herb,NA,4,4,-4.903955,33.697575
Kohautia lasiocarpa,Rubiaceae,Kohautia,Gentianales,herb,NA,4,4,-4.2318,34.509775
Kotschya capitulifera,Fabaceae,Kotschya,Fabales,herb,NA,4,4,-5.487915,32.692275
Lannea edulis,Anacardiaceae,Lannea,Sapindales,shrub,NA,4,4,-8.02618,32.07825
Lannea triphylla,Anacardiaceae,Lannea,Sapindales,tree,NA,4,4,-3.688465,37.27915
Lannea welwitschii var. ciliolata,Anacardiaceae,Lannea,Sapindales,tree,NA,4,4,-5.9166625,37.09585
Laportea aestuans,Urticaceae,Laportea,Rosales,herb,NA,4,4,-4.6606225,33.915425
Lasianthus pedunculatus subsp. angustisepalus,Rubiaceae,Lasianthus,Gentianales,shrub,NA,4,4,-8.5125,35.71335
Leonotis nepetifolia var. nepetifolia,Lamiaceae,Leonotis,Lamiales,herb,NA,4,4,-3.781245,33.476575000000004
Leonotis ocymifolia,Lamiaceae,Leonotis,Lamiales,herb,NA,4,4,-8.1541625,35.60835
Leptaulus daphnoides,Cardiopteridaceae,Leptaulus,Aquifoliales,tree,NA,4,4,-1.0138125,31.618000000000002
Leptochloa obtusiflora,Poaceae,Leptochloa,Poales,herb,NA,4,4,-4.62312,36.879575
Leucas volkensii var. volkensii,Lamiaceae,Leucas,Lamiales,herb,NA,4,4,-3.11833,36.82
Limeum viscosum,Limeaceae,Limeum,Caryophyllales,herb,NA,4,4,-5.204165,36.075825
Lindernia subracemosa,Linderniaceae,Lindernia,Lamiales,herb,NA,4,4,-6.09611,35.331125
Lingelsheimia sylvestris,Putranjivaceae,Lingelsheimia,Malpighiales,tree,NA,4,4,-7.01951,37.807225
Linum volkensii,Linaceae,Linum,Malpighiales,herb,NA,4,4,-6.6124975,35.816649999999996
Lippia abyssinica,Verbenaceae,Lippia,Lamiales,herb,NA,4,4,-8.210415,32.469775
Lippia praecox,Verbenaceae,Lippia,Lamiales,herb,NA,4,4,-8.6033325,33.934175
Litogyne gariepina,Asteraceae,Litogyne,Asterales,herb,NA,4,4,-5.779165,36.22085
Lobelia deckenii subsp. burttii,Campanulaceae,Lobelia,Asterales,herb,NA,4,4,-3.4916675,36.175
Lobelia molleri,Campanulaceae,Lobelia,Asterales,herb,NA,4,4,-7.9783325000000005,36.28
